# Este es un archivo de ejemplo.
10, 10

# Jugador
2,2,1,0,0,0,0

# Paredes
0,1,4,0,0,0,0
0,2,4,0,0,0,0
0,3,4,0,0,0,0
0,4,4,0,0,0,0
0,5,4,0,0,0,0
0,6,4,0,0,0,0
0,7,4,0,0,0,0
0,8,4,0,0,0,0
9,1,4,0,0,0,0
9,2,4,0,0,0,0
9,3,4,0,0,0,0
9,4,4,0,0,0,0
9,5,4,0,0,0,0
9,6,4,0,0,0,0
9,7,4,0,0,0,0
9,8,4,0,0,0,0
1,0,4,0,0,0,0
2,0,4,0,0,0,0
3,0,4,0,0,0,0
4,0,4,0,0,0,0
5,0,4,0,0,0,0
6,0,4,0,0,0,0
7,0,4,0,0,0,0
8,0,4,0,0,0,0
1,9,4,0,0,0,0
2,9,4,0,0,0,0
3,9,4,0,0,0,0
4,9,4,0,0,0,0
5,9,4,0,0,0,0
6,9,4,0,0,0,0
7,9,4,0,0,0,0
8,9,4,0,0,0,0
1,1,4,0,0,0,0
1,8,4,0,0,0,0
8,1,4,0,0,0,0
8,8,4,0,0,0,0
6,1,4,0,0,0,0
6,2,4,0,0,0,0
6,3,4,0,0,0,0
6,4,4,0,0,0,0
6,6,4,0,0,0,0
6,7,4,0,0,0,0
6,8,4,0,0,0,0

# Cajas
4, 2, 2, 0, 0, 0, 255
4, 4, 2, 0, 255, 255, 0
4, 6, 6, 5, 0, 255, 0

# Celdas destino 
8,2,3,0,255,255,0    # Celda destino de la caja amarilla
5,8,3,0,0,255,0            # Celda destino de la caja verde
 
# Agujero 
3,8,5,2,      0,   0,0
